file_name,category_id,category_name,image_id,zoom_ration,is_thick,is_thin
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_03_49.jpg,1,Trophozoite,1,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_03_49.jpg,4,WBC,1,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_03_49.jpg,4,WBC,1,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_03_49.jpg,1,Trophozoite,1,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_03_49.jpg,1,Trophozoite,1,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_03_49.jpg,1,Trophozoite,1,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_03_49.jpg,1,Trophozoite,1,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_03_49.jpg,1,Trophozoite,1,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_03_49.jpg,1,Trophozoite,1,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_03_49.jpg,1,Trophozoite,1,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_03_49.jpg,1,Trophozoite,1,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_03_49.jpg,1,Trophozoite,1,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_03_49.jpg,1,Trophozoite,1,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_03_49.jpg,1,Trophozoite,1,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_03_49.jpg,1,Trophozoite,1,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_04_18.jpg,4,WBC,2,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_04_18.jpg,1,Trophozoite,2,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_04_18.jpg,1,Trophozoite,2,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_04_18.jpg,4,WBC,2,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_04_37.jpg,1,Trophozoite,3,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_05_09.jpg,1,Trophozoite,4,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_06_30.jpg,1,Trophozoite,5,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_07_38.jpg,1,Trophozoite,6,1.0,False,True
malaria_dataset/ocular/batches/thin/batch1/Ocular_2024-07-24_19_07_57.jpg,1,Trophozoite,7,1.0,False,True
